Season,Date,team
2013,"Saturday, April 06, 2013",ARI
2013,"Sunday, April 07, 2013",ARI
2013,"Monday, April 08, 2013",ARI
2013,"Tuesday, April 09, 2013",ARI
2013,"Wednesday, April 10, 2013",ARI
2013,"Thursday, April 11, 2013",ARI
2013,"Friday, April 12, 2013",ARI
2013,"Saturday, April 13, 2013",ARI
2013,"Sunday, April 14, 2013",ARI
2013,"Monday, April 15, 2013",ARI
2013,"Tuesday, April 16, 2013",ARI
2013,"Wednesday, April 17, 2013",ARI
2013,"Thursday, April 18, 2013",ARI
2013,"Friday, April 19, 2013",ARI
2013,"Saturday, April 20, 2013",ARI
2013,"Sunday, April 21, 2013",ARI
2013,"Monday, April 22, 2013",ARI
2013,"Tuesday, April 23, 2013",ARI
2013,"Wednesday, April 24, 2013",ARI
2013,"Thursday, April 25, 2013",ARI
2013,"Friday, April 26, 2013",ARI
2013,"Saturday, April 27, 2013",ARI
2013,"Sunday, April 28, 2013",ARI
2013,"Monday, April 29, 2013",ARI
2013,"Tuesday, April 30, 2013",ARI
2013,"Wednesday, May 01, 2013",ARI
2013,"Thursday, May 02, 2013",ARI
2013,"Friday, May 03, 2013",ARI
2013,"Saturday, May 04, 2013",ARI
2013,"Sunday, May 05, 2013",ARI
2013,"Monday, May 06, 2013",ARI
2013,"Tuesday, May 07, 2013",ARI
2013,"Wednesday, May 08, 2013",ARI
2013,"Thursday, May 09, 2013",ARI
2013,"Friday, May 10, 2013",ARI
2013,"Saturday, May 11, 2013",ARI
2013,"Sunday, May 12, 2013",ARI
2013,"Monday, May 13, 2013",ARI
2013,"Tuesday, May 14, 2013",ARI
2013,"Wednesday, May 15, 2013",ARI
2013,"Thursday, May 16, 2013",ARI
2013,"Friday, May 17, 2013",ARI
2013,"Saturday, May 18, 2013",ARI
2013,"Sunday, May 19, 2013",ARI
2013,"Monday, May 20, 2013",ARI
2013,"Tuesday, May 21, 2013",ARI
2013,"Wednesday, May 22, 2013",ARI
2013,"Thursday, May 23, 2013",ARI
2013,"Friday, May 24, 2013",ARI
2013,"Saturday, May 25, 2013",ARI
2013,"Sunday, May 26, 2013",ARI
2013,"Monday, May 27, 2013",ARI
2013,"Tuesday, May 28, 2013",ARI
2013,"Wednesday, May 29, 2013",ARI
2013,"Thursday, May 30, 2013",ARI
2013,"Friday, May 31, 2013",ARI
2013,"Saturday, June 01, 2013",ARI
2013,"Sunday, June 02, 2013",ARI
2013,"Monday, June 03, 2013",ARI
2013,"Tuesday, June 04, 2013",ARI
2013,"Wednesday, June 05, 2013",ARI
2013,"Thursday, June 06, 2013",ARI
2013,"Friday, June 07, 2013",ARI
2013,"Saturday, June 08, 2013",ARI
2013,"Sunday, June 09, 2013",ARI
2013,"Monday, June 10, 2013",ARI
2013,"Tuesday, June 11, 2013",ARI
2013,"Wednesday, June 12, 2013",ARI
2013,"Thursday, June 13, 2013",ARI
2013,"Friday, June 14, 2013",ARI
2013,"Saturday, June 15, 2013",ARI
2013,"Sunday, June 16, 2013",ARI
2013,"Monday, June 17, 2013",ARI
2013,"Tuesday, June 18, 2013",ARI
2013,"Wednesday, June 19, 2013",ARI
2013,"Thursday, June 20, 2013",ARI
2013,"Friday, June 21, 2013",ARI
2013,"Saturday, June 22, 2013",ARI
2013,"Sunday, June 23, 2013",ARI
2013,"Monday, June 24, 2013",ARI
2013,"Tuesday, June 25, 2013",ARI
2013,"Wednesday, June 26, 2013",ARI
2013,"Thursday, June 27, 2013",ARI
2013,"Friday, June 28, 2013",ARI
2013,"Saturday, June 29, 2013",ARI
2013,"Sunday, June 30, 2013",ARI
2013,"Monday, July 01, 2013",ARI
2013,"Tuesday, July 02, 2013",ARI
2013,"Wednesday, July 03, 2013",ARI
2013,"Thursday, July 04, 2013",ARI
2013,"Friday, July 05, 2013",ARI
2013,"Saturday, July 06, 2013",ARI
2013,"Sunday, July 07, 2013",ARI
2013,"Monday, July 08, 2013",ARI
2013,"Tuesday, July 09, 2013",ARI
2013,"Wednesday, July 10, 2013",ARI
2013,"Thursday, July 11, 2013",ARI
2013,"Friday, July 12, 2013",ARI
2013,"Saturday, July 13, 2013",ARI
2013,"Sunday, July 14, 2013",ARI
2013,"Monday, July 15, 2013",ARI
2013,"Tuesday, July 16, 2013",ARI
2013,"Wednesday, July 17, 2013",ARI
2013,"Thursday, July 18, 2013",ARI
2013,"Friday, July 19, 2013",ARI
2013,"Saturday, July 20, 2013",ARI
2013,"Sunday, July 21, 2013",ARI
2013,"Monday, July 22, 2013",ARI
2013,"Tuesday, July 23, 2013",ARI
2013,"Wednesday, July 24, 2013",ARI
2013,"Thursday, July 25, 2013",ARI
2013,"Friday, July 26, 2013",ARI
2013,"Saturday, July 27, 2013",ARI
2013,"Sunday, July 28, 2013",ARI
2013,"Monday, July 29, 2013",ARI
2013,"Tuesday, July 30, 2013",ARI
2013,"Wednesday, July 31, 2013",ARI
2013,"Thursday, August 01, 2013",ARI
2013,"Friday, August 02, 2013",ARI
2013,"Saturday, August 03, 2013",ARI
2013,"Sunday, August 04, 2013",ARI
2013,"Monday, August 05, 2013",ARI
2013,"Tuesday, August 06, 2013",ARI
2013,"Wednesday, August 07, 2013",ARI
2013,"Thursday, August 08, 2013",ARI
2013,"Friday, August 09, 2013",ARI
2013,"Saturday, August 10, 2013",ARI
2013,"Sunday, August 11, 2013",ARI
2013,"Monday, August 12, 2013",ARI
2013,"Tuesday, August 13, 2013",ARI
2013,"Wednesday, August 14, 2013",ARI
2013,"Thursday, August 15, 2013",ARI
2013,"Friday, August 16, 2013",ARI
2013,"Saturday, August 17, 2013",ARI
2013,"Sunday, August 18, 2013",ARI
2013,"Monday, August 19, 2013",ARI
2013,"Tuesday, August 20, 2013",ARI
2013,"Wednesday, August 21, 2013",ARI
2013,"Thursday, August 22, 2013",ARI
2013,"Friday, August 23, 2013",ARI
2013,"Saturday, August 24, 2013",ARI
2013,"Sunday, August 25, 2013",ARI
2013,"Monday, August 26, 2013",ARI
2013,"Tuesday, August 27, 2013",ARI
2013,"Wednesday, August 28, 2013",ARI
2013,"Thursday, August 29, 2013",ARI
2013,"Friday, August 30, 2013",ARI
2013,"Saturday, August 31, 2013",ARI
2013,"Sunday, September 01, 2013",ARI
2013,"Monday, September 02, 2013",ARI
2013,"Tuesday, September 03, 2013",ARI
2013,"Wednesday, September 04, 2013",ARI
2013,"Thursday, September 05, 2013",ARI
2013,"Friday, September 06, 2013",ARI
2013,"Saturday, September 07, 2013",ARI
2013,"Sunday, September 08, 2013",ARI
2013,"Monday, September 09, 2013",ARI
2013,"Tuesday, September 10, 2013",ARI
2013,"Wednesday, September 11, 2013",ARI
2013,"Thursday, September 12, 2013",ARI
2013,"Friday, September 13, 2013",ARI
2013,"Saturday, September 14, 2013",ARI
2013,"Sunday, September 15, 2013",ARI
2013,"Monday, September 16, 2013",ARI
2013,"Tuesday, September 17, 2013",ARI
2013,"Wednesday, September 18, 2013",ARI
2013,"Thursday, September 19, 2013",ARI
2013,"Friday, September 20, 2013",ARI
2013,"Saturday, September 21, 2013",ARI
2013,"Sunday, September 22, 2013",ARI
2013,"Monday, September 23, 2013",ARI
2013,"Tuesday, September 24, 2013",ARI
2013,"Wednesday, September 25, 2013",ARI
2013,"Thursday, September 26, 2013",ARI
2013,"Friday, September 27, 2013",ARI
2013,"Saturday, September 28, 2013",ARI
2013,"Sunday, September 29, 2013",ARI
2013,"Monday, September 30, 2013",ARI
2013,"Tuesday, October 01, 2013",ARI
2013,"Wednesday, October 02, 2013",ARI
2013,"Thursday, October 03, 2013",ARI
2013,"Friday, October 04, 2013",ARI
2013,"Saturday, October 05, 2013",ARI
2013,"Sunday, October 06, 2013",ARI
2013,"Monday, October 07, 2013",ARI
2013,"Tuesday, October 08, 2013",ARI
2013,"Wednesday, October 09, 2013",ARI
2013,"Thursday, October 10, 2013",ARI
2012,"Tuesday, March 20, 2012",ARI
2012,"Wednesday, March 21, 2012",ARI
2012,"Thursday, March 22, 2012",ARI
2012,"Friday, March 23, 2012",ARI
2012,"Saturday, March 24, 2012",ARI
2012,"Sunday, March 25, 2012",ARI
2012,"Monday, March 26, 2012",ARI
2012,"Tuesday, March 27, 2012",ARI
2012,"Wednesday, March 28, 2012",ARI
2012,"Thursday, March 29, 2012",ARI
2012,"Friday, March 30, 2012",ARI
2012,"Saturday, March 31, 2012",ARI
2012,"Sunday, April 01, 2012",ARI
2012,"Monday, April 02, 2012",ARI
2012,"Tuesday, April 03, 2012",ARI
2012,"Wednesday, April 04, 2012",ARI
2012,"Thursday, April 05, 2012",ARI
2012,"Friday, April 06, 2012",ARI
2012,"Saturday, April 07, 2012",ARI
2012,"Sunday, April 08, 2012",ARI
2012,"Monday, April 09, 2012",ARI
2012,"Tuesday, April 10, 2012",ARI
2012,"Wednesday, April 11, 2012",ARI
2012,"Thursday, April 12, 2012",ARI
2012,"Friday, April 13, 2012",ARI
2012,"Saturday, April 14, 2012",ARI
2012,"Sunday, April 15, 2012",ARI
2012,"Monday, April 16, 2012",ARI
2012,"Tuesday, April 17, 2012",ARI
2012,"Wednesday, April 18, 2012",ARI
2012,"Thursday, April 19, 2012",ARI
2012,"Friday, April 20, 2012",ARI
2012,"Saturday, April 21, 2012",ARI
2012,"Sunday, April 22, 2012",ARI
2012,"Monday, April 23, 2012",ARI
2012,"Tuesday, April 24, 2012",ARI
2012,"Wednesday, April 25, 2012",ARI
2012,"Thursday, April 26, 2012",ARI
2012,"Friday, April 27, 2012",ARI
2012,"Saturday, April 28, 2012",ARI
2012,"Sunday, April 29, 2012",ARI
2012,"Monday, April 30, 2012",ARI
2012,"Tuesday, May 01, 2012",ARI
2012,"Wednesday, May 02, 2012",ARI
2012,"Thursday, May 03, 2012",ARI
2012,"Friday, May 04, 2012",ARI
2012,"Saturday, May 05, 2012",ARI
2012,"Sunday, May 06, 2012",ARI
2012,"Monday, May 07, 2012",ARI
2012,"Tuesday, May 08, 2012",ARI
2012,"Wednesday, May 09, 2012",ARI
2012,"Thursday, May 10, 2012",ARI
2012,"Friday, May 11, 2012",ARI
2012,"Saturday, May 12, 2012",ARI
2012,"Sunday, May 13, 2012",ARI
2012,"Monday, May 14, 2012",ARI
2012,"Tuesday, May 15, 2012",ARI
2012,"Wednesday, May 16, 2012",ARI
2012,"Thursday, May 17, 2012",ARI
2012,"Friday, May 18, 2012",ARI
2012,"Saturday, May 19, 2012",ARI
2012,"Sunday, May 20, 2012",ARI
2012,"Monday, May 21, 2012",ARI
2012,"Tuesday, May 22, 2012",ARI
2012,"Wednesday, May 23, 2012",ARI
2012,"Thursday, May 24, 2012",ARI
2012,"Friday, May 25, 2012",ARI
2012,"Saturday, May 26, 2012",ARI
2012,"Sunday, May 27, 2012",ARI
2012,"Monday, May 28, 2012",ARI
2012,"Tuesday, May 29, 2012",ARI
2012,"Wednesday, May 30, 2012",ARI
2012,"Thursday, May 31, 2012",ARI
2012,"Friday, June 01, 2012",ARI
2012,"Saturday, June 02, 2012",ARI
2012,"Sunday, June 03, 2012",ARI
2012,"Monday, June 04, 2012",ARI
2012,"Tuesday, June 05, 2012",ARI
2012,"Wednesday, June 06, 2012",ARI
2012,"Thursday, June 07, 2012",ARI
