Season,Tm,NumBat,BatAge,PerBat,NumP,PAge,PerP,AvgAge
2009,ARI,45,26.5,0.652173913,24,27.7,0.347826087,26.9173913
2009,ATL,45,28.8,0.681818182,21,28.9,0.318181818,28.83181818
2009,BAL,48,28.7,0.64,27,28.1,0.36,28.484
2009,BOS,52,30,0.658227848,27,29.8,0.341772152,29.93164557
2009,CHC,45,29.9,0.652173913,24,28.4,0.347826087,29.37826087
2009,CHW,45,29.8,0.652173913,24,29.5,0.347826087,29.69565217
2009,CIN,46,27.9,0.676470588,22,29,0.323529412,28.25588235
2009,CLE,52,27.4,0.641975309,29,27.8,0.358024691,27.54320988
2009,COL,45,27.8,0.642857143,25,28.5,0.357142857,28.05
2009,DET,45,29.6,0.661764706,23,26.6,0.338235294,28.58529412
2009,MIA,44,27,0.61971831,27,26.3,0.38028169,26.73380282
2009,HOU,42,31.6,0.65625,22,31.2,0.34375,31.4625
2009,KCR,43,27.8,0.651515152,23,28.7,0.348484848,28.11363636
2009,LAA,46,29.5,0.647887324,25,28.6,0.352112676,29.18309859
2009,LAD,47,29.7,0.652777778,25,27.8,0.347222222,29.04027778
2009,MIL,45,29.3,0.661764706,23,30,0.338235294,29.53676471
2009,MIN,42,27.7,0.636363636,24,27.9,0.363636364,27.77272727
2009,NYM,53,29.5,0.688311688,24,29.2,0.311688312,29.40649351
2009,NYY,45,30.4,0.652173913,24,29.3,0.347826087,30.0173913
2009,OAK,51,28.9,0.662337662,26,25.7,0.337662338,27.81948052
2009,PHI,41,31.3,0.650793651,22,31.2,0.349206349,31.26507937
2009,PIT,49,27,0.653333333,26,26.3,0.346666667,26.75733333
2009,SDP,56,28,0.629213483,33,26.8,0.370786517,27.55505618
2009,SEA,46,29.7,0.696969697,20,27.4,0.303030303,29.0030303
2009,SFG,44,29,0.676923077,21,28.7,0.323076923,28.90307692
2009,STL,42,28.5,0.677419355,20,30.1,0.322580645,29.01612903
2009,TBR,41,28,0.661290323,21,28.4,0.338709677,28.13548387
