Season,Team,Mgr,Yrs,Prior Seasons Managed,From,To,W,L,W-L%,G>.500,G,Wpost,Lpost,W-L%post,BestFin,WrstFin,AvRk,Plyof App,Prior Playoff,Playoffs,WSwon,PennWon,ASG,playoff per season,career playoffs per season
2011,DET,Jim Leyland,22,19,1986,2013,1769,1728,0.506,41,3499,44,40,0.524,1,6,3,8,5,Y,1,3,3,0.263157895,0.363636364
2010,DET,Jim Leyland,22,18,1986,2013,1769,1728,0.506,41,3499,44,40,0.524,1,6,3,8,5,N,1,3,3,0.277777778,0.363636364
2009,DET,Jim Leyland,22,17,1986,2013,1769,1728,0.506,41,3499,44,40,0.524,1,6,3,8,5,N,1,3,3,0.294117647,0.363636364
2008,DET,Jim Leyland,22,16,1986,2013,1769,1728,0.506,41,3499,44,40,0.524,1,6,3,8,5,N,1,3,3,0.3125,0.363636364
2007,DET,Jim Leyland,22,15,1986,2013,1769,1728,0.506,41,3499,44,40,0.524,1,6,3,8,5,N,1,3,3,0.333333333,0.363636364
2006,DET,Jim Leyland,22,14,1986,2013,1769,1728,0.506,41,3499,44,40,0.524,1,6,3,8,4,Y,1,3,3,0.285714286,0.363636364
2005,DET,Alan Trammell,4,2,2003,2014,187,302,0.382,-115,489,0,0,,4,5,4.3,0,0,N,0,0,0,0,0
2004,DET,Alan Trammell,4,1,2003,2014,187,302,0.382,-115,489,0,0,,4,5,4.3,0,0,N,0,0,0,0,0
2014,HOU,Tom Lawless,1,0,2014,2014,11,13,0.458,-2,24,0,0,,4,4,4,0,0,N,0,0,0,0,0
2013,HOU,Bo Porter,2,0,2013,2014,110,190,0.367,-80,300,0,0,,5,5,5,0,0,N,0,0,0,0,0
2012,HOU,Tony DeFrancesco,1,0,2012,2012,16,25,0.39,-9,41,0,0,,6,6,6,0,0,N,0,0,0,0,0
2011,HOU,Brad Mills,3,1,2010,2012,171,274,0.384,-103,445,0,0,,4,6,5.3,0,0,N,0,0,0,0,0
2010,HOU,Brad Mills,3,0,2010,2012,171,274,0.384,-103,445,0,0,,4,6,5.3,0,0,N,0,0,0,0,0
2009,HOU,Cecil Cooper,3,2,2007,2009,171,170,0.501,1,341,0,0,,3,4,3.5,0,0,N,0,0,0,0,0
2008,HOU,Cecil Cooper,3,1,2007,2009,171,170,0.501,1,341,0,0,,3,4,3.5,0,0,N,0,0,0,0,0
2007,HOU,Cecil Cooper,3,0,2007,2009,171,170,0.501,1,341,0,0,,3,4,3.5,0,0,N,0,0,0,0,0
2006,HOU,Phil Garner,15,13,1992,2007,985,1054,0.483,-69,2040,13,13,0.5,2,7,3.8,2,2,N,0,1,1,0.153846154,0.133333333
2005,HOU,Phil Garner,15,12,1992,2007,985,1054,0.483,-69,2040,13,13,0.5,2,7,3.8,2,1,Y,0,1,1,0.083333333,0.133333333
2004,HOU,Phil Garner,15,11,1992,2007,985,1054,0.483,-69,2040,13,13,0.5,2,7,3.8,2,0,Y,0,1,1,0,0.133333333
2014,KCR,Ned Yost,11,10,2003,2014,830,904,0.479,-74,1734,11,4,0.733,2,6,3.6,1,0,Y,0,1,0,0,0.090909091
2013,KCR,Ned Yost,11,9,2003,2014,830,904,0.479,-74,1734,11,4,0.733,2,6,3.6,1,0,N,0,1,0,0,0.090909091
2012,KCR,Ned Yost,11,8,2003,2014,830,904,0.479,-74,1734,11,4,0.733,2,6,3.6,1,0,N,0,1,0,0,0.090909091
2011,KCR,Ned Yost,11,7,2003,2014,830,904,0.479,-74,1734,11,4,0.733,2,6,3.6,1,0,N,0,1,0,0,0.090909091
2010,KCR,Ned Yost,11,6,2003,2014,830,904,0.479,-74,1734,11,4,0.733,2,6,3.6,1,0,N,0,1,0,0,0.090909091
2009,KCR,Trey Hillman,3,1,2008,2010,152,207,0.423,-55,359,0,0,,4,5,4.1,0,0,N,0,0,0,0,0
2008,KCR,Trey Hillman,3,0,2008,2010,152,207,0.423,-55,359,0,0,,4,5,4.1,0,0,N,0,0,0,0,0
2007,KCR,Buddy Bell,9,8,1996,2007,519,724,0.418,-205,1243,0,0,,3,5,4.6,0,0,N,0,0,0,0,0
2006,KCR,Buddy Bell,9,7,1996,2007,519,724,0.418,-205,1243,0,0,,3,5,4.6,0,0,N,0,0,0,0,0
2005,KCR,Buddy Bell,9,6,1996,2007,519,724,0.418,-205,1243,0,0,,3,5,4.6,0,0,N,0,0,0,0,0
2004,KCR,Tony Pena,4,2,2002,2005,198,285,0.41,-87,483,0,0,,3,5,4.1,0,0,N,0,0,0,0,0
